sample_name	altitude	anonymized_name	bile_sample	biomass_even	biomass_quartile	climate	collection_substrate	collection_timestamp	collection_year	common_name	condition_factor	conservation_status	control	control_2	control_cell_into_extraction	control_org	depth_high_range_m	depth_low_range_m	depth_m	description	diet	diet_reference	dist_to_dorsal_cm	distance_from_shore_m	dna_extracted	dnaplate_column	dnaplate_row	dnaplate_well_id	elevation	empo_1	empo_2	empo_3	env	env0	env_biome	env_feature	env_material	env_package	evo_distanceto_mackerel_median_mya	evo_timetree_species_name	extraction_cleanup	extraction_date	extraction_lot	extraction_mass_g	extraction_notes	extraction_notes_gill	extraction_plate_name	fish_collection_method	fl_cm	fmp_number	gamma_include	gape_cm	general_location	geo_loc_name	gi_cm	hab_notes	hab_sum	habitat_act_collection	habitat_be	habitat_cp	habitat_depth_level1	habitat_depth_level2	habitat_drf	habitat_dslp	habitat_is	habitat_kbrf	habitat_mdrf	habitat_ms	habitat_os	habitat_p	habitat_ref	habitat_rit	habitat_rst	habitat_sslp	habitat_sz	host_age	host_age_units	host_body_habitat	host_body_mass_index	host_body_product	host_body_site	host_common_name	host_common_name_	host_height	host_height_units	host_life_stage	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	include_st	latitude	longitude	mass_g	max_age	max_kg_grams	max_tl_cm	method_gear	month	name	notes	notes_on_dissection	num_order	number_db	ocean_basin	p_class	p_fam_common	p_family	p_genus	p_genus_species	p_order	pcr_order	ph_cells_per_g	ph_cells_per_g_log	ph_cells_per_mg	ph_extrapolated_cells_per_60ul_total	ph_extrapolated_cells_per_extra_ln	ph_extrapolated_cells_per_pcr_total	ph_log_reads	ph_r1150	ph_reads_per_mg	ph_total_reads	physical_specimen_location	physical_specimen_remaining	prey_annelids	prey_arthropods	prey_echinoderms	prey_invertebrate	prey_large_fish	prey_mollusks	prey_phytoplankton_algae	prey_shark_marine_mammal	prey_small_fish	prey_zooplankton	primer_plate	qiita_study_id	radii	ratio_dorsal_to_tl	ratio_gape_to_tl	ratio_gi_to_tl	reproductive_process	salinity_tolerance	salinity_tolerance_migration	sample_type	sample_type_2	sample_type_descriptive	sample_types	scientific_name	sd_or_la	season	sex	sjbg_gill	sjbg_gill_direction	sjbg_gill_number	sjbg_gill_orientation	sjbg_gill_sample	sjbg_gill_tissue	sjbg_gill_type	sourcesink	substrata_collection	substrata_group	swim_acceleration	swim_endurance	swim_mode	swim_performance	taxon_id	title	title_fmp_core	tl_cm	trophic	trophic_likely	type_habitat_nonbay_bol	x	y	z
13414.1.gill	Not applicable	1.gill	TRUE	3	4	subtropical	rock associated	2019-07-27	2019	kelp bass	1.3803	LC	0	0		0	61	1	3	1.gill	"fish, squid, invertebrates"	fishbase.org	11.8	24	TRUE	1	a	a1	0	Host-associated	Animal	Animal corpus	1gill	gill	marine biome	animal-associated habitat	organic material	host-associated	116	Paralabrax	clearmag beads KF	9/14/20	PS16L1	0.607		PG	FMP101_P4_gill_1.88	spear	35.9	1	1	5.2	children pool	USA:CA:San Diego	56		2	RST	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:respiratory system	1.380315501	UBERON:mucus	UBERON:gill	kelp bass	kelp bass	36	cm	Missing: not collected	Paralabrax clathratus	FMP_1	172714	644	grams	1	32.848152	-117.278413	644	34	7	72	spear	7	1.gill			577	296	Eastern Pacific	Actinopterygii	"Sea basses, groupers, and fairy basslets"	Serranidae	Paralabrax	Paralabrax clathratus	Perciformes	673	14481971	7.160827673	14482	8790556	5.864835118	732546	4.811219651	1	106667	64747	SIO	Missing: not collected				1		1			1		8	13414		0.327777778	0.144444444	1.555555556	oviparous	marine	marine	fish gill	g	gill tissue	"gill, fin, skin, MG, HG"	Paralabrax clathratus	255	summer	F								sink	rocky reef	rock associated	2	2	Subcarangiform	generalist	172714	FMP101	1	36	3	3	TRUE			
13414.1.hg	Not applicable	1.hg	TRUE	1	2	subtropical	rock associated	2019-07-27	2019	kelp bass	1.3803	LC	0	0		0	61	1	3	1.hg	"fish, squid, invertebrates"	fishbase.org	11.8	24	TRUE	1	a	a1	0	Host-associated	Animal	Animal distal gut	1hg	hindgut	marine biome	animal-associated habitat	intestine environment	host-associated	116	Paralabrax	clearmag beads KF	9/10/20	PS16L1	0.088			FMP101_P1_hg_1.88	spear	35.9	1	1	5.2	children pool	USA:CA:San Diego	56		2	RST	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:gastrointestinal system	1.380315501	UBERON:feces	UBERON:digestive tract	kelp bass	kelp bass	36	cm	Missing: not collected	Paralabrax clathratus	FMP_1	172714	644	grams	1	32.848152	-117.278413	644	34	7	72	spear	7	1.hg			289	296	Eastern Pacific	Actinopterygii	"Sea basses, groupers, and fairy basslets"	Serranidae	Paralabrax	Paralabrax clathratus	Perciformes	385	9529	3.979047327	10	839	1.844366004	70	3.66152874	1	52125	4587	SIO	Missing: not collected				1		1			1		5	13414		0.327777778	0.144444444	1.555555556	oviparous	marine	marine	fish hindgut digesta	hg	hindgut digesta	"gill, fin, skin, MG, HG"	Paralabrax clathratus	255	summer	F								sink	rocky reef	rock associated	2	2	Subcarangiform	generalist	172714	FMP101	1	36	3	3	TRUE			
13414.1.midgut	Not applicable	1.midgut	TRUE	3	4	subtropical	rock associated	2019-07-27	2019	kelp bass	1.3803	LC	0	0		0	61	1	3	1.midgut	"fish, squid, invertebrates"	fishbase.org	11.8	24	TRUE	1	a	a1	0	Host-associated	Animal	Animal proximal gut	1midgut	midgut	marine biome	animal-associated habitat	intestine environment	host-associated	116	Paralabrax	clearmag beads KF	9/10/20	PS16L1	0.0818			FMP101_P2_mg_1.88	spear	35.9	1	1	5.2	children pool	USA:CA:San Diego	56		2	RST	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:gastrointestinal system	1.380315501	UBERON:feces	UBERON:digestive tract	kelp bass	kelp bass	36	cm	Missing: not collected	Paralabrax clathratus	FMP_1	172714	644	grams	1	32.848152	-117.278413	644	34	7	72	spear	7	1.midgut			385	296	Eastern Pacific	Actinopterygii	"Sea basses, groupers, and fairy basslets"	Serranidae	Paralabrax	Paralabrax clathratus	Perciformes	481	3273034	6.514950517	3273	267734	4.348522559	22311	4.377615831	1	291650	23857	SIO	Missing: not collected				1		1			1		6	13414		0.327777778	0.144444444	1.555555556	oviparous	marine	marine	fish midgut digesta	mg	midgut digesta	"gill, fin, skin, MG, HG"	Paralabrax clathratus	255	summer	F								sink	rocky reef	rock associated	2	2	Subcarangiform	generalist	172714	FMP101	1	36	3	3	TRUE			
13414.1.skin	Not applicable	1.skin	TRUE	1	2	subtropical	rock associated	2019-07-27	2019	kelp bass	1.3803	LC	0	0		0	61	1	3	1.skin	"fish, squid, invertebrates"	fishbase.org	11.8	24	TRUE	1	a	a1	0	Host-associated	Animal	Animal surface	1skin	skin	marine biome	animal-associated habitat	mucus	host-associated	116	Paralabrax	clearmag beads KF	9/14/20	PS16L1	0.143	high		FMP101_P3_skin_1.88	spear	35.9	1	1	5.2	children pool	USA:CA:San Diego	56		2	RST	0	0	shallow	neritic	0	0	1	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:skin	1.380315501	UBERON:mucus	UBERON:skin of body	kelp bass	kelp bass	36	cm	Missing: not collected	Paralabrax clathratus	FMP_1	172714	644	grams	1	32.848152	-117.278413	644	34	7	72	spear	7	1.skin			481	296	Eastern Pacific	Actinopterygii	"Sea basses, groupers, and fairy basslets"	Serranidae	Paralabrax	Paralabrax clathratus	Perciformes	577	9541	3.979593896	10	1364	2.055747979	114	3.721975402	1	36867	5272	SIO	Missing: not collected				1		1			1		7	13414		0.327777778	0.144444444	1.555555556	oviparous	marine	marine	fish skin	s	skin swab	"gill, fin, skin, MG, HG"	Paralabrax clathratus	255	summer	F								sink	rocky reef	rock associated	2	2	Subcarangiform	generalist	172714	FMP101	1	36	3	3	TRUE			
13414.2.gill	Not applicable	2.gill	TRUE	1	1	subtropical	rock associated	2019-07-24	2019	ocean whitefish	1.1706	LC	0	0		0	91	10	10	2.gill	digs into substrate for food (inverts?)	fishbase.org	7.5	342	TRUE	1	b	b1	0	Host-associated	Animal	Animal corpus	2gill	gill	marine biome	animal-associated habitat	organic material	host-associated	116	Caulolatilus princeps	columns	12/26/20	PS16L1	0.2937		PG	FMP101_P4_gill_1.88	hook and line	29.9	2	1	2.3	LJ kelp	USA:CA:San Diego	48		1	KBRF	0	0	shallow	neritic	0	0	0	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:respiratory system	1.170608161	UBERON:mucus	UBERON:gill	ocean whitefish	ocean whitefish	31.9	cm	Missing: not collected	Caulolatilus princeps	FMP_2	319437	380	grams	1	32.854483	-117.273919	380		5.8	102	rod and reel	7	2.gill			578	442	Eastern Pacific	Actinopterygii	tilefishes	Malacanthidae	Caulolatilus	Caulolatilus princeps	Perciformes	674	279	2.445604203	0	82	0.833785671	7	3.372543801	1	8029	2358	SIO	Missing: not collected				1						1	8	13414		0.235109718	0.072100313	1.504702194	oviparous	marine	marine	fish gill	g	gill tissue	"gill, fin, skin, MG, HG"	Caulolatilus princeps	394	summer	Unknown								sink	rocky reef	rock associated	2	2	Subcarangiform	generalist	319437	FMP101	1	31.9	2	2	TRUE			
13414.2.hg	Not applicable	2.hg	TRUE	2	3	subtropical	rock associated	2019-07-24	2019	ocean whitefish	1.1706	LC	0	0		0	91	10	10	2.hg	digs into substrate for food (inverts?)	fishbase.org	7.5	342	TRUE	1	b	b1	0	Host-associated	Animal	Animal distal gut	2hg	hindgut	marine biome	animal-associated habitat	intestine environment	host-associated	116	Caulolatilus princeps	clearmag beads KF	9/10/20	PS16L1	0.267			FMP101_P1_hg_1.88	hook and line	29.9	2	1	2.3	LJ kelp	USA:CA:San Diego	48		1	KBRF	0	0	shallow	neritic	0	0	0	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:gastrointestinal system	1.170608161	UBERON:feces	UBERON:digestive tract	ocean whitefish	ocean whitefish	31.9	cm	Missing: not collected	Caulolatilus princeps	FMP_2	319437	380	grams	1	32.854483	-117.273919	380		5.8	102	rod and reel	7	2.hg			290	442	Eastern Pacific	Actinopterygii	tilefishes	Malacanthidae	Caulolatilus	Caulolatilus princeps	Perciformes	386	86840	4.938719815	87	23186	3.286049375	1932	4.073791643	1	44390	11852	SIO	Missing: not collected				1						1	5	13414		0.235109718	0.072100313	1.504702194	oviparous	marine	marine	fish hindgut digesta	hg	hindgut digesta	"gill, fin, skin, MG, HG"	Caulolatilus princeps	394	summer	Unknown								sink	rocky reef	rock associated	2	2	Subcarangiform	generalist	319437	FMP101	1	31.9	2	2	TRUE			
13414.2.midgut	Not applicable	2.midgut	TRUE	2	3	subtropical	rock associated	2019-07-24	2019	ocean whitefish	1.1706	LC	0	0		0	91	10	10	2.midgut	digs into substrate for food (inverts?)	fishbase.org	7.5	342	TRUE	1	b	b1	0	Host-associated	Animal	Animal proximal gut	2midgut	midgut	marine biome	animal-associated habitat	intestine environment	host-associated	116	Caulolatilus princeps	columns	12/26/20	PS16L1	0.0696			FMP101_P2_mg_1.88	hook and line	29.9	2	1	2.3	LJ kelp	USA:CA:San Diego	48		1	KBRF	0	0	shallow	neritic	0	0	0	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:gastrointestinal system	1.170608161	UBERON:feces	UBERON:digestive tract	ocean whitefish	ocean whitefish	31.9	cm	Missing: not collected	Caulolatilus princeps	FMP_2	319437	380	grams	1	32.854483	-117.273919	380		5.8	102	rod and reel	7	2.midgut			386	442	Eastern Pacific	Actinopterygii	tilefishes	Malacanthidae	Caulolatilus	Caulolatilus princeps	Perciformes	482	662698	5.82131566	663	46124	3.584743849	3844	4.159206134	1	207299	14428	SIO	Missing: not collected				1						1	6	13414		0.235109718	0.072100313	1.504702194	oviparous	marine	marine	fish midgut digesta	mg	midgut digesta	"gill, fin, skin, MG, HG"	Caulolatilus princeps	394	summer	Unknown								sink	rocky reef	rock associated	2	2	Subcarangiform	generalist	319437	FMP101	1	31.9	2	2	TRUE			
13414.2.skin	Not applicable	2.skin	TRUE	1	2	subtropical	rock associated	2019-07-24	2019	ocean whitefish	1.1706	LC	0	0		0	91	10	10	2.skin	digs into substrate for food (inverts?)	fishbase.org	7.5	342	TRUE	1	b	b1	0	Host-associated	Animal	Animal surface	2skin	skin	marine biome	animal-associated habitat	mucus	host-associated	116	Caulolatilus princeps	clearmag beads KF	9/14/20	PS16L1	0.121	high		FMP101_P3_skin_1.88	hook and line	29.9	2	1	2.3	LJ kelp	USA:CA:San Diego	48		1	KBRF	0	0	shallow	neritic	0	0	0	1	0	0	0	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:skin	1.170608161	UBERON:mucus	UBERON:skin of body	ocean whitefish	ocean whitefish	31.9	cm	Missing: not collected	Caulolatilus princeps	FMP_2	319437	380	grams	1	32.854483	-117.273919	380		5.8	102	rod and reel	7	2.skin			482	442	Eastern Pacific	Actinopterygii	tilefishes	Malacanthidae	Caulolatilus	Caulolatilus princeps	Perciformes	578	7981	3.902057311	8	966	1.90568792	80	3.679064318	1	39471	4776	SIO	Missing: not collected				1						1	7	13414		0.235109718	0.072100313	1.504702194	oviparous	marine	marine	fish skin	s	skin swab	"gill, fin, skin, MG, HG"	Caulolatilus princeps	394	summer	Unknown								sink	rocky reef	rock associated	2	2	Subcarangiform	generalist	319437	FMP101	1	31.9	2	2	TRUE			
13414.3.gill	Not applicable	3.gill	TRUE	3	4	deep water	rock associated	2019-08-21	2019	honeycomb rockfish	1.7184		0	0		0	119	30	30	3.gill	"small fish, crabs, shrimp"	https://waltermunkfoundation.org/map/honeycomb-rockfish/	8.5	2486	TRUE	1	c	c1	0	Host-associated	Animal	Animal corpus	3gill	gill	marine biome	animal-associated habitat	organic material	host-associated	116	Sebastes umbrosus	clearmag beads KF	9/14/20	PS16L1	0.519		PG	FMP101_P4_gill_1.88	hook and line survey	28.3	3	1	6	LJ kelp	USA:CA:San Diego	32	"rock reef, benthic"	2	KBRF	0	0	shallow	neritic	0	0	0	0	1	0	1	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:respiratory system	1.718414599	UBERON:mucus	UBERON:gill	honeycomb rockfish	honeycomb rockfish	28.6	cm	Missing: not collected	Sebastes umbrosus	FMP_3	72105	402	grams	1	32.83399	-117.30876	402		0.57	29.8	rod and reel	8	3.gill			579	277	Eastern Pacific	Actinopterygii	rockfish	Sebastidae	Sebastes	Sebastes umbrosus	Perciformes	675	2193581	6.341153676	2194	1138469	4.977139844	94872	4.557374848	1	69536	36089	SIO	Missing: not collected		1		1					1		8	13414		0.297202797	0.20979021	1.118881119	viviparous	marine	marine	fish gill	g	gill tissue	"gill, fin, skin, MG, HG"	Sebastes umbrosus	236	summer	Unknown								sink	rocky reef	rock associated	1	3	Labriform	generalist	72105	FMP101	1	28.6	3	3	TRUE			
13414.3.hg	Not applicable	3.hg	TRUE	3	4	deep water	rock associated	2019-08-21	2019	honeycomb rockfish	1.7184		0	0		0	119	30	30	3.hg	"small fish, crabs, shrimp"	https://waltermunkfoundation.org/map/honeycomb-rockfish/	8.5	2486	TRUE	1	c	c1	0	Host-associated	Animal	Animal distal gut	3hg	hindgut	marine biome	animal-associated habitat	intestine environment	host-associated	116	Sebastes umbrosus	clearmag beads KF	9/10/20	PS16L1	0.082			FMP101_P1_hg_1.88	hook and line survey	28.3	3	1	6	LJ kelp	USA:CA:San Diego	32	"rock reef, benthic"	2	KBRF	0	0	shallow	neritic	0	0	0	0	1	0	1	0	The ecology of marine fishes of california and adjacent waters 2006	0	0	0	0	Missing: not collected	Missing: not collected	UBERON:gastrointestinal system	1.718414599	UBERON:feces	UBERON:digestive tract	honeycomb rockfish	honeycomb rockfish	28.6	cm	Missing: not collected	Sebastes umbrosus	FMP_3	72105	402	grams	1	32.83399	-117.30876	402		0.57	29.8	rod and reel	8	3.hg			291	277	Eastern Pacific	Actinopterygii	rockfish	Sebastidae	Sebastes	Sebastes umbrosus	Perciformes	387	3104279	6.491960747	3104	254551	4.326593406	21213	4.371344983	1	286768	23515	SIO	Missing: not collected		1		1					1		5	13414		0.297202797	0.20979021	1.118881119	viviparous	marine	marine	fish hindgut digesta	hg	hindgut digesta	"gill, fin, skin, MG, HG"	Sebastes umbrosus	236	summer	Unknown								sink	rocky reef	rock associated	1	3	Labriform	generalist	72105	FMP101	1	28.6	3	3	TRUE			
