X.SampleID	common_name	sample_type	collection_date	conservation_status	depth_high_range_m	depth_low_range_m	Depth_m	Diet	dist_to_dorsal_cm	distance_from_shore_m	distance_from_shore_m_log	evo_distanceto_mackerel_median_mya	evo_timetree_species_name	fish_collection_method	fl_cm	gape_cm	gi_cm	hab_notes	habitat_depth_level2	host_body_mass_index	host_common_name	host_height	host_height_vs_max_height_tl	host_scientific_name	host_subject_id	host_taxid	host_weight	mass_g	max_age	max_kg_grams	max_length_cm	max_tl_cm	method_gear	month	number_db	p_family	p_genus	p_genus_species_alternative	p_order	ratio_dorsal_to_tl	ratio_gape_to_tl	ratio_gi_to_tl	sample_type_descriptive	SAMPLE_TYPE	substrata_collection	swim_mode	swim_performance	tl_cm	trophic	p_genus_species
13414.1.gill.R1.fastq.gz	kelp bass	gill	2019-07-27	LC	61	1	3	fish_ squid_ invertebrates	11.8	24	1.380211242	116	Paralabrax	spear	35.9	5.2	56	not applicable	neritic	1.380315501	kelp bass	36	50	Paralabrax clathratus	FMP_1	172714	644	644	34	7	72.1	72	spear	7	296	Serranidae	Paralabrax	Paralabrax clathratus	Perciformes	0.327777778	0.144444444	1.555555556	gill tissue	fish gill	rocky reef	Subcarangiform	generalist	36	3	Paralabrax clathratus
13414.1.hg.R1.fastq.gz	kelp bass	hindgut	2019-07-27	LC	61	1	3	fish_ squid_ invertebrates	11.8	24	1.380211242	116	Paralabrax	spear	35.9	5.2	56	not applicable	neritic	1.380315501	kelp bass	36	50	Paralabrax clathratus	FMP_1	172714	644	644	34	7	72.1	72	spear	7	296	Serranidae	Paralabrax	Paralabrax clathratus	Perciformes	0.327777778	0.144444444	1.555555556	hindgut digesta	fish hindgut digesta	rocky reef	Subcarangiform	generalist	36	3	Paralabrax clathratus
13414.1.midgut.R1.fastq.gz	kelp bass	midgut	2019-07-27	LC	61	1	3	fish_ squid_ invertebrates	11.8	24	1.380211242	116	Paralabrax	spear	35.9	5.2	56	not applicable	neritic	1.380315501	kelp bass	36	50	Paralabrax clathratus	FMP_1	172714	644	644	34	7	72.1	72	spear	7	296	Serranidae	Paralabrax	Paralabrax clathratus	Perciformes	0.327777778	0.144444444	1.555555556	midgut digesta	fish midgut digesta	rocky reef	Subcarangiform	generalist	36	3	Paralabrax clathratus
13414.1.skin.R1.fastq.gz	kelp bass	skin	2019-07-27	LC	61	1	3	fish_ squid_ invertebrates	11.8	24	1.380211242	116	Paralabrax	spear	35.9	5.2	56	not applicable	neritic	1.380315501	kelp bass	36	50	Paralabrax clathratus	FMP_1	172714	644	644	34	7	72.1	72	spear	7	296	Serranidae	Paralabrax	Paralabrax clathratus	Perciformes	0.327777778	0.144444444	1.555555556	skin swab	fish skin	rocky reef	Subcarangiform	generalist	36	3	Paralabrax clathratus
13414.11.gill.R1.fastq.gz	Pacific 'california' barracuda	gill	2019-06-05	LC	18	0	2	fish	18.9	787	2.895974732	116	Sphyraena argentea	HSW gillnet survey	42.2	4.3	28	not applicable	neritic	0.321941068	Pacific 'california' barracuda	46.8	32	Sphyraena argentea	FMP_11	55125	330	330	12	12	122	145	gillnet	6	356	Sphyraenidae	Sphyraena	Sphyraena argentea	Carangiformes	0.403846154	0.091880342	0.598290598	gill tissue	fish gill	sandy bottom	Esociform	accelerator	46.8	3	Sphyraena argentea
13414.11.hg.R1.fastq.gz	Pacific 'california' barracuda	hindgut	2019-06-05	LC	18	0	2	fish	18.9	787	2.895974732	116	Sphyraena argentea	HSW gillnet survey	42.2	4.3	28	not applicable	neritic	0.321941068	Pacific 'california' barracuda	46.8	32	Sphyraena argentea	FMP_11	55125	330	330	12	12	122	145	gillnet	6	356	Sphyraenidae	Sphyraena	Sphyraena argentea	Carangiformes	0.403846154	0.091880342	0.598290598	hindgut digesta	fish hindgut digesta	sandy bottom	Esociform	accelerator	46.8	3	Sphyraena argentea
13414.11.midgut.R1.fastq.gz	Pacific 'california' barracuda	midgut	2019-06-05	LC	18	0	2	fish	18.9	787	2.895974732	116	Sphyraena argentea	HSW gillnet survey	42.2	4.3	28	not applicable	neritic	0.321941068	Pacific 'california' barracuda	46.8	32	Sphyraena argentea	FMP_11	55125	330	330	12	12	122	145	gillnet	6	356	Sphyraenidae	Sphyraena	Sphyraena argentea	Carangiformes	0.403846154	0.091880342	0.598290598	midgut digesta	fish midgut digesta	sandy bottom	Esociform	accelerator	46.8	3	Sphyraena argentea
13414.11.skin.R1.fastq.gz	Pacific 'california' barracuda	skin	2019-06-05	LC	18	0	2	fish	18.9	787	2.895974732	116	Sphyraena argentea	HSW gillnet survey	42.2	4.3	28	not applicable	neritic	0.321941068	Pacific 'california' barracuda	46.8	32	Sphyraena argentea	FMP_11	55125	330	330	12	12	122	145	gillnet	6	356	Sphyraenidae	Sphyraena	Sphyraena argentea	Carangiformes	0.403846154	0.091880342	0.598290598	skin swab	fish skin	sandy bottom	Esociform	accelerator	46.8	3	Sphyraena argentea
13414.12.gill.R1.fastq.gz	barred sand bass	gill	2019-06-05	LC	183	1	2	benthic invertebrates_ fish	7.9	787	2.895974732	116	Paralabrax nebulifer	HSW gillnet survey	28.8	4.1	39	not applicable	neritic	1.214005165	barred sand bass	28.8	43	Paralabrax nebulifer	FMP_12	30873	290	290	31	not applicable	65	67	gillnet	6	300	Serranidae	Paralabrax	Paralabrax nebulifer	Perciformes	0.274305556	0.142361111	1.354166667	gill tissue	fish gill	sandy bottom	Subcarangiform	generalist	28.8	3	Paralabrax nebulifer
13414.12.hg.R1.fastq.gz	barred sand bass	hindgut	2019-06-05	LC	183	1	2	benthic invertebrates_ fish	7.9	787	2.895974732	116	Paralabrax nebulifer	HSW gillnet survey	28.8	4.1	39	not applicable	neritic	1.214005165	barred sand bass	28.8	43	Paralabrax nebulifer	FMP_12	30873	290	290	31	not applicable	65	67	gillnet	6	300	Serranidae	Paralabrax	Paralabrax nebulifer	Perciformes	0.274305556	0.142361111	1.354166667	hindgut digesta	fish hindgut digesta	sandy bottom	Subcarangiform	generalist	28.8	3	Paralabrax nebulifer
