sample-id	absolute-filepath
13414.1.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.1.gill.R1.fastq.gz
13414.1.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.1.hg.R1.fastq.gz
13414.1.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.1.midgut.R1.fastq.gz
13414.1.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.1.skin.R1.fastq.gz
13414.10.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.10.gill.R1.fastq.gz
13414.10.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.10.hg.R1.fastq.gz
13414.10.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.10.midgut.R1.fastq.gz
13414.10.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.10.skin.R1.fastq.gz
13414.100.g.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.100.g.R1.fastq.gz
13414.100.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.100.hg.R1.fastq.gz
13414.100.midg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.100.midg.R1.fastq.gz
13414.100.s.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.100.s.R1.fastq.gz
13414.101.g.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.101.g.R1.fastq.gz
13414.101.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.101.hg.R1.fastq.gz
13414.101.midg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.101.midg.R1.fastq.gz
13414.101.s.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.101.s.R1.fastq.gz
13414.102.g.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.102.g.R1.fastq.gz
13414.102.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.102.hg.R1.fastq.gz
13414.102.midg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.102.midg.R1.fastq.gz
13414.102.s.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.102.s.R1.fastq.gz
13414.103.g.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.103.g.R1.fastq.gz
13414.103.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.103.hg.R1.fastq.gz
13414.103.midg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.103.midg.R1.fastq.gz
13414.103.s.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.103.s.R1.fastq.gz
13414.11.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.11.gill.R1.fastq.gz
13414.11.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.11.hg.R1.fastq.gz
13414.11.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.11.midgut.R1.fastq.gz
13414.11.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.11.skin.R1.fastq.gz
13414.12.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.12.gill.R1.fastq.gz
13414.12.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.12.hg.R1.fastq.gz
13414.12.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.12.midgut.R1.fastq.gz
13414.12.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.12.skin.R1.fastq.gz
13414.13.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.13.gill.R1.fastq.gz
13414.13.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.13.hg.R1.fastq.gz
13414.13.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.13.midgut.R1.fastq.gz
13414.13.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.13.skin.R1.fastq.gz
13414.14.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.14.gill.R1.fastq.gz
13414.14.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.14.hg.R1.fastq.gz
13414.14.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.14.midgut.R1.fastq.gz
13414.14.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.14.skin.R1.fastq.gz
13414.15.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.15.gill.R1.fastq.gz
13414.15.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.15.hg.R1.fastq.gz
13414.15.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.15.midgut.R1.fastq.gz
13414.15.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.15.skin.R1.fastq.gz
13414.16.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.16.gill.R1.fastq.gz
13414.16.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.16.hg.R1.fastq.gz
13414.16.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.16.midgut.R1.fastq.gz
13414.16.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.16.skin.R1.fastq.gz
13414.17.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.17.gill.R1.fastq.gz
13414.17.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.17.hg.R1.fastq.gz
13414.17.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.17.midgut.R1.fastq.gz
13414.17.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.17.skin.R1.fastq.gz
13414.18.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.18.gill.R1.fastq.gz
13414.18.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.18.hg.R1.fastq.gz
13414.18.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.18.midgut.R1.fastq.gz
13414.18.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.18.skin.R1.fastq.gz
13414.19.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.19.gill.R1.fastq.gz
13414.19.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.19.hg.R1.fastq.gz
13414.19.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.19.midgut.R1.fastq.gz
13414.19.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.19.skin.R1.fastq.gz
13414.2.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.2.gill.R1.fastq.gz
13414.2.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.2.hg.R1.fastq.gz
13414.2.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.2.midgut.R1.fastq.gz
13414.2.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.2.skin.R1.fastq.gz
13414.20.gill.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20.gill.R1.fastq.gz
13414.20.hg.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20.hg.R1.fastq.gz
13414.20.midgut.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20.midgut.R1.fastq.gz
13414.20.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20.skin.R1.fastq.gz
13414.20201103.SjapGill.L.skin.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L.skin.R1.fastq.gz
13414.20201103.SjapGill.L1.bot.1.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L1.bot.1.R1.fastq.gz
13414.20201103.SjapGill.L1.bot.2.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L1.bot.2.R1.fastq.gz
13414.20201103.SjapGill.L1.bot.3.R1.fastq.gz	/mnt/datasets/project_2/fish/seqs/13414.20201103.SjapGill.L1.bot.3.R1.fastq.gz
