""	"ASVs"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"1"	"4573342fa1a0dba839708b850d913a2e"	"d__Eukaryota"	"p__Vertebrata"	"c__Actinopterygii"	"o__Teleostei"	"f__Teleostei"	"g__Teleostei"	NA
"2"	"20c19976fa05d400a58f82746e62e259"	"d__Eukaryota"	"p__Vertebrata"	"c__Actinopterygii"	"o__Teleostei"	"f__Teleostei"	"g__Teleostei"	NA
"3"	"1a215ec8e4d6ead72dc72c0b0c96a347"	"d__Bacteria"	"p__Firmicutes"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Faecalibacterium"	NA
"4"	"bac76b855451195e2000609dabc95e50"	"d__Bacteria"	"p__Firmicutes"	"c__Negativicutes"	"o__Acidaminococcales"	"f__Acidaminococcaceae"	"g__Phascolarctobacterium"	"s__Phascolarctobacterium_faecium"
"5"	"a7da4297481a404778c537a941157b66"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Flavobacteriales"	"f__Flavobacteriaceae"	"g__uncultured"	"s__uncultured_deep-sea"
"6"	"16949f1d3e9b4b9e80fd217a62454140"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Prevotellaceae"	"g__Prevotella"	NA
"7"	"876c077872b25e0caa42451e68e4c243"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides_uniformis"
"8"	"b2fc94647aae18abc2135b1b820d62a0"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides_caccae"
"9"	"0a2c356984c0c11fc211b6d49fab7cf7"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides_fragilis"
"10"	"55bf2e0cc9ab57fbb9f72c41f348d4ef"	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides_vulgatus"
"11"	"ab28e9f8e85012fed968bcbf0f186758"	"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Sphingomonadales"	"f__Sphingomonadaceae"	NA	NA
"12"	"2c98767e66114267fda71df1f26b1b34"	"d__Bacteria"	"p__Verrucomicrobiota"	"c__Verrucomicrobiae"	"o__Verrucomicrobiales"	"f__Akkermansiaceae"	"g__Akkermansia"	"s__Akkermansia_muciniphila"
"13"	"73801086233d1aa5c8b4e52bc26ab20a"	"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Vibrionales"	"f__Vibrionaceae"	"g__Photobacterium"	NA
"14"	"683431f43c325542db20826f65a11c63"	"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Alteromonadales"	"f__Pseudoalteromonadaceae"	"g__Pseudoalteromonas"	NA
"15"	"d258ee09a6037b38fc656e781fab684a"	"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Moraxellaceae"	"g__Psychrobacter"	"s__Psychrobacter_maritimus"
"16"	"7fde0135e37a107b96c17130b9593721"	"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Moraxellaceae"	"g__Psychrobacter"	NA
"17"	"6c0f1f01c052ecdf0f412304ac73db97"	"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Pseudomonadales"	"f__Moraxellaceae"	"g__Psychrobacter"	"s__Psychrobacter_celer"
